LAT;LONG;FULL_NAME_RG
8.920833;-10.253611;Koléadou
10.85;-12.766667;Kolé
10.433333;-10.9;Kolé
9.516667;-10.666667;Kolatou
8.69;-9.8625;Oumbia
7.8;-9.4;Ouloyo
11.283333;-10.166667;Oulounkoubi
7.566667;-9.116667;Ouloumou Va
11.083333;-14.9;Kannbof
11.383333;-11;Kankoumadé
10.816667;-14.583333;Kankouf
10.816667;-14.583333;Kankouffe
11.55;-14.1;Kankou
9.016667;-10.3;Kanikongo
9.016667;-10.3;Kankonko
9.883333;-10.8;Kankomaria
9.883333;-10.8;Konkoméria
9.883333;-10.8;Konkoménia
9.709167;-13.1775;Kankharé
9.709167;-13.1775;Kankarè
8.716667;-8.316667;Kankansédougou
10.916667;-13.133333;Kankandé, Montagne
11.266667;-14.25;Kankana
10;-9;Kankan, Région Administrative de
10;-9;Kankan, Préfecture de
11.133333;-10.183333;Sinsinfangui
8.775833;-9.565833;Sinséou
9.116667;-10.466667;Sinnekonko
8.883333;-8.266667;Sinko
9.566667;-13.266667;Sinkirin
9.566667;-13.266667;Sankirin
9.333333;-13.316667;Sankiné
9.333333;-13.316667;Sinkiné
10.05;-10.216667;Sininkoro
9.233333;-9.216667;Sinima
9.233333;-9.416667;Siniaradou
9.233333;-9.416667;Sinéïadougou
9.233333;-9.416667;Sirinialdou
8.645;-9.151389;Sabouédou
11.083333;-9.983333;Sabokoroda
10.616667;-14.666667;Sand Island
10.616667;-14.666667;Sable, Île de
8.466667;-8.55;Sabiadougou
11.683333;-10.55;Sabéré Sako
8.45;-7.666667;Bananko
9.95;-9.983333;Bananko
9.216667;-9.05;Bananko
8.733333;-8.333333;Banandougou
12.533333;-13.116667;Ikessa
12.583333;-13.116667;Ifane
11.5;-10.85;Iéro Kamban
12.383333;-13.283333;Iéra
12.566667;-13.133333;Idir
12.433333;-13.183333;Iavan
11.4;-13.9;Hounsiré
11.4;-13.9;Ounsiré
8.553889;-10.090556;Houndoni
11.266667;-11.75;Siguira
9.2;-13.116667;Siguandé
9.2;-13.116667;Singuandé
9.183333;-10.233333;Siguanbaya
10.716667;-11.433333;Sefria
10.716667;-11.433333;Siffray
9.3;-10.266667;Faroro
10.816667;-12.933333;Faro
9.273056;-13.024444;Farmoréya
9.273056;-13.024444;Farmoréa
9.273056;-13.024444;Famoréa
9.273056;-13.024444;Farmoréah
9.066667;-9.933333;Farmassadou
9.616667;-10.266667;Farko
12.2;-13.816667;Farina
10.35;-12.866667;Farénya
10.283333;-13.966667;Farénya
10.283333;-13.966667;Faringhia
10.283333;-13.966667;Foringuia
10.283333;-13.966667;Faringuia
10.283333;-13.966667;Farringhia
9.683333;-10.283333;Farendou
9.683333;-10.283333;Farandougou
8.926667;-10.389444;Faréma
11.316667;-10.4;Niakalé
10.75;-11.8;Niagara
8.633333;-8.383333;Niadougou
10.833333;-13.116667;Niabéli, Montagne
8.55;-10;Nguessou
8.333333;-10.55;Ngouahoum
8.533333;-8.433333;Ngoli
11.633333;-14.25;Netteré
12.483333;-13.366667;Louguéré-Kéré
11.516667;-10.8;Lougouroun
11.9;-10.4;Lougoundé
11.666667;-10.466667;Loufa I
11.266667;-10.916667;Loufa
8.566667;-10.55;Louenguelayo
7.883333;-9.383333;Louboye
9.45;-10.1;Loua Konko
9.454167;-13.79;Los, Îles de
9.454167;-13.79;Idolos
9.454167;-13.79;Los, Isole
9.454167;-13.79;Loos, Iles de
9.454167;-13.79;Los Inseln
9.166667;-8.783333;Farafina
8.583333;-8.166667;Farafina
8.616667;-8.916667;Farafila
11.7;-10.333333;Farafi
10.216667;-14;Diable, Île du
8.533333;-9.983333;Diabéma
10.583333;-10.7;Diabari
11.216667;-8.483333;Diaban
8.623611;-9.077778;Diabadou
9.1;-7.816667;Dereoua
7.566667;-8.916667;Dépasé
8.670278;-9.368611;Borokodou
8.670278;-9.368611;Bokorodou
10.816667;-10.016667;Bokoro
9;-9.866667;Bokoro
8.441389;-9.496667;Bokouni
8.441389;-9.496667;Bokoni
9.266667;-10.483333;Bokoncékonko
11.883333;-10.4;Nafadji I
11.3;-14.033333;Netté
11.3;-14.033333;Nafadgi
8.980556;-9.221667;Loffero
8.980556;-9.221667;Loféro
8.966667;-9.883333;Lodou
8.516667;-9.883333;Lodia
7.983333;-9.283333;Lipala
12.35;-13.483333;Linnkéré
8.833333;-9.783333;Limbeya
12.25;-13.583333;Konomia
11.05;-10.4;Konkourou
9.866667;-9.75;Konkouré
10.45;-13;Konkouré
9.2;-10.166667;Konko Oulé
9.466667;-10.083333;Konkoa Moria
9.466667;-10.083333;Kougoua, Mont
9.3;-10.25;Konkoa
9.383333;-9.9;Konko
8.716667;-9.966667;Konkèsse
9.316667;-10.333333;Déa
9.083333;-10.433333;Gbafo
7.416667;-9.383333;Gbafala
7.300278;-8.983056;Gba
7.316667;-8.933333;Gba
10.183333;-12.633333;Waliya
10.183333;-12.633333;Oualia
11.2;-10.85;Walawala
11.2;-10.45;Walawala
9.3;-10.6;Walawala
11.2;-10.866667;Walawala
11.1;-10.85;Oualandama
11.1;-10.85;Walandama
11.1;-10.85;Ouallandama
9.15;-10.55;Waladou
8.05;-8.416667;Vuya
12.4;-13.466667;Voyloubé
9.883333;-10.65;Gamara
9.883333;-10.65;Kamaréa
12.166667;-13.85;Galo Kadé
11.316667;-14.633333;Gallou
11.45;-13.95;Bénnsané
11.45;-13.95;Doumba Diolo
11.45;-13.95;Bensané
11.033333;-10.233333;Douma
10.6;-12.7;Douma
8.611111;-9.865;Douloumaï
8.083333;-8.25;Douloufé
11.8;-10.833333;Doulaya, Bowal
11.766667;-10.983333;Doulaya
7.433889;-8.797222;Doulapa
9.599167;-13.055833;Doukourha
12.4;-13.366667;Doukouréla
11.033333;-12.683333;Doukoukou
9;-10.466667;Oué
9;-10.466667;Ouéré
12.566667;-13.533333;Oudaya
12.566667;-13.533333;Oudaha
12.633333;-13.4;Oudaba
8.849444;-9.483056;Ouazémaï
8.65;-8.85;Ouataférédougou
9.083333;-10.516667;Ouassaya
11.5;-10.266667;Matagania
11.5;-10.266667;Matagaguina
10.4;-12.583333;Gouyaya
10.4;-12.583333;Kouyaya
11.133333;-11.216667;Fougoumba
