LAT;LONG;FULL_NAME_ND_RO;;;;;;;;;;;;;;;;;;;;;;;;;;
14.516667;-16.183333;Soupa;;;;;;;;;;;;;;;;;;;;;;;;;;
14.416667;-14.333333;Diamel;;;;;;;;;;;;;;;;;;;;;;;;;;
16.215556;-15.422222;Diam Diayre;;;;;;;;;;;;;;;;;;;;;;;;;;
14.733333;-15.516667;Diamboye;;;;;;;;;;;;;;;;;;;;;;;;;;
13.983333;-15.816667;Diambour;;;;;;;;;;;;;;;;;;;;;;;;;;
14.566667;-16.3;Diam Bougou;;;;;;;;;;;;;;;;;;;;;;;;;;
14.566667;-16.3;Diambougoum;;;;;;;;;;;;;;;;;;;;;;;;;;
15.066667;-16.916667;Diombal;;;;;;;;;;;;;;;;;;;;;;;;;;
15.066667;-16.916667;Diambalo;;;;;;;;;;;;;;;;;;;;;;;;;;
13.85;-13.6;Diambadina;;;;;;;;;;;;;;;;;;;;;;;;;;
12.719444;-16.161111;Bourrek;;;;;;;;;;;;;;;;;;;;;;;;;;
12.719444;-16.161111;Bourek;;;;;;;;;;;;;;;;;;;;;;;;;;
12.719444;-16.161111;Bourrec;;;;;;;;;;;;;;;;;;;;;;;;;;
12.719444;-16.161111;Bourec;;;;;;;;;;;;;;;;;;;;;;;;;;
14.733333;-15.516667;Boure;;;;;;;;;;;;;;;;;;;;;;;;;;
12.466667;-16.016667;Bouranol Bessoloum;;;;;;;;;;;;;;;;;;;;;;;;;;
12.466667;-16.016667;Bessoloum;;;;;;;;;;;;;;;;;;;;;;;;;;
13.283333;-13.366667;Madina;;;;;;;;;;;;;;;;;;;;;;;;;;
13.283333;-13.366667;Medina;;;;;;;;;;;;;;;;;;;;;;;;;;
13.666667;-14.25;Kolibentan;;;;;;;;;;;;;;;;;;;;;;;;;;
13.666667;-14.25;Kolibantan;;;;;;;;;;;;;;;;;;;;;;;;;;
13.666667;-14.25;Kolbanitan;;;;;;;;;;;;;;;;;;;;;;;;;;
13.666667;-14.25;Colibentan;;;;;;;;;;;;;;;;;;;;;;;;;;
13.733333;-16.533333;Kole;;;;;;;;;;;;;;;;;;;;;;;;;;
13.733333;-16.533333;Kolet;;;;;;;;;;;;;;;;;;;;;;;;;;
12.883333;-14.95;Kolda;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3;-16.5;Kol;;;;;;;;;;;;;;;;;;;;;;;;;;
13.35;-13.783333;Kokoum Doulo;;;;;;;;;;;;;;;;;;;;;;;;;;
13.35;-13.783333;Kokoum;;;;;;;;;;;;;;;;;;;;;;;;;;
13.9;-15.833333;Som;;;;;;;;;;;;;;;;;;;;;;;;;;
13.266667;-13.883333;Solibane;;;;;;;;;;;;;;;;;;;;;;;;;;
15;-16.916667;Baiti Gueye;;;;;;;;;;;;;;;;;;;;;;;;;;
15.116667;-16.566667;Baiti Gaye;;;;;;;;;;;;;;;;;;;;;;;;;;
13.9;-15.866667;Keur Sering Oumar Ndao;;;;;;;;;;;;;;;;;;;;;;;;;;
14.733333;-15.666667;Keur Serigne Souleye;;;;;;;;;;;;;;;;;;;;;;;;;;
14.45;-15.866667;Keur Serigne Sidi;;;;;;;;;;;;;;;;;;;;;;;;;;
14.483333;-15.866667;Keur Serigne Mofar;;;;;;;;;;;;;;;;;;;;;;;;;;
14.716667;-15.733333;Keur Serigne Mbatch Ndiaye;;;;;;;;;;;;;;;;;;;;;;;;;;
13.75;-16.3;Keur Serigne Bamba;;;;;;;;;;;;;;;;;;;;;;;;;;
14.7;-15.733333;Keur Serigne Babondiaye;;;;;;;;;;;;;;;;;;;;;;;;;;
14.383333;-15.866667;Keur Seni;;;;;;;;;;;;;;;;;;;;;;;;;;
14.733333;-16.433333;Keur Sel;;;;;;;;;;;;;;;;;;;;;;;;;;
14.733333;-16.433333;Keur Sek;;;;;;;;;;;;;;;;;;;;;;;;;;
14.816667;-15.8;Keur Sek Fal;;;;;;;;;;;;;;;;;;;;;;;;;;
