LAT;LONG;FULL_NAME_RO
10.55;.7;Kouniéré
10.55;.7;Kounniéré
10.633333;.183333;Kounkokou
7.783333;1.183333;Kounigbo
10.566667;.55;Namiélé
7.716667;.833333;Nambiré
9.783333;1.166667;Koukou
9.766667;1.1;Kouka
7.633333;1.166667;Agouné
9.433333;.816667;Forêt Classée de la Montagne de Kabou
10.85;.2;Mont Monéfiagou
9.583333;.5;Pipidioulé
9.55;.883333;Pessidé Koundoum
9.166667;1.5;Azam
10.683333;.25;Soungou
10.85;.2;Bomongue
9.883333;.616667;Bokpé
6.45;1.533333;Boko
10.733333;.533333;Boibingou
9.933333;.383333;Yabido
6.5;.983333;Komikopé
9.866667;1.25;Koloparango
6.966667;.8;Gabakoui
8.383333;1.366667;Fouloum
9.85;.666667;Nimmbéolo
9.85;.666667;Nimbéolo
7.316667;1.533333;Niébodji
7.433333;.966667;Niazankopé
7.433333;.966667;Niasankopé
7.216667;.783333;Avého-Tongbé
7.216667;.783333;Avého
7.033333;1.333333;Forêt d’ Avega
6.533333;.866667;Avédjéta
6.533333;.866667;Aviététa
6.866667;.783333;Avédjé
7.183333;.616667;Todometo
7.183333;.616667;Mont Todométo
7.25;.833333;Kalakoué
7.583333;.883333;Djalouma
6.9;1.233333;Atisowé
9.583333;.95;Atindioudou
9.916667;.416667;Tiéressou
9.6;1.266667;Kadianga
9.65;.916667;Kada
9.216667;.666667;Dibéti
9.083333;1.1;Flandi
6.883333;.55;Fiameketo
8.75;.7;Monts du Fazao
10.833333;.166667;Koumbarég
10.833333;.166667;Koumbarégou
9.3;.633333;Koumalou
9.983333;.4;Koulifiagou
10.9;.033333;Sébliani
10.3;.833333;Namandébio
10.083333;.516667;Nalogou
10.75;.516667;Nalénou
10.766667;.15;Nakpalikonkog
6.85;.716667;Agou-Gare
6.95;.6;Yo
6.95;.6;Agouam Yo
6.833333;1.333333;Agoto
6.283333;1.383333;Hah Rivière
6.283333;1.383333;Haho
6.283333;1.383333;L’Haho
10.7;.233333;Djalogué
8.383333;.716667;Djafa
7.766667;.766667;Kpétakouano
6.216667;1.533333;Kpémé
7.333333;1.616667;Kpékplémé
7.333333;1.616667;Kjékplémé
7.733333;1.2;Kapré Kopé
7.733333;1.2;Kabrékopé
7.366667;1.116667;Adigo
7.033333;1.616667;Tonoun
7.033333;1.616667;Tohoun
7.033333;1.616667;Tohoun
7.033333;1.616667;Tohou
7.033333;1.616667;Tun
7.033333;1.616667;Tchouri
6.666667;1.033333;Togodué
6.666667;1.033333;Togodoé
8;1.166667;République Togolaise
8;1.166667;French Togoland
8;1.166667;Togolese Republic
8;1.166667;Republic of Togo
7.466667;1.6;Togbé Ayiho
6.45;.833333;Avazikopé
6.3;1.666667;Atwéta
6.3;1.666667;Atouéta
6.95;.683333;Kaklévé
9.4;1.283333;Kajamboué
9.1;1.2;Kagnelo
9.433333;.95;Kadoué
10.966667;.633333;Imoindini
9.366667;1.066667;Watalangue
10.733333;.016667;Warké
7.45;1.316667;Sicinni
6.35;1.633333;Seydjro
10.933333;.633333;Bilamoinga
10.1;.766667;Biélinka
9.733333;.8;Bidjabé
9.733333;.8;Bitjabé
9.416667;.6;Biakpabé
7.016667;1.2;Koutiopokopé
8.866667;1.4;Koutangoli
9.65;1.183333;Hotobo
9.2;1.366667;Naolo
9.483333;.6;Nanjéré
7.516667;1.166667;Ekloukopé
9.183333;1.233333;Ekbésé
9.083333;1.05;Egouandi
7.666667;1.233333;Kézévé
7.666667;1.233333;Késévé
7.416667;.666667;Kémédisso
10.9;.35;Oulongou
6.483333;.85;Oulénou
9.966667;1.266667;Oulanda
7.25;1.316667;Lekpakoji
7.566667;1.35;Atchénedji
7.566667;1.35;Atchinedji
6.5;1.716667;Atchavé Komé
9.35;.783333;Kikpéou
9.233333;1.05;Mont Kidouba
6.616667;1.1;Egbé
6.383333;.866667;Edji
6.716667;1.35;Livé
7.283333;.7;Lihoué
7;.7;Lifia
9.766667;.766667;Liboungdial
7.483333;1.3;Tialakopé
8.1;1.483333;Tiadikoffé
7.916667;1.2;Tétouiabakopé
8.9;1.433333;Oukanglidou
10.55;.616667;Oudouban
10.633333;.283333;Bougou
8.683333;.9;Boudiouna
10.883333;.666667;Bouangbika
8.083333;1.55;Mont Boua
9.883333;1.183333;Koré
8.166667;1.35;Konta
7.833333;.716667;Gaoukopé
9.4;.866667;Tamabadé
7.1;.75;Takpla
9.3;1.166667;Tagouadé
7.75;1.283333;Latihou
7.333333;1.1;Laroukopé
