LAT;LONG;NAME
10.147997;3.221136;BOUKABEROU
10.196842;3.169364;BOUKAGANDO
10.222676;3.113046;BOUKAKEKEBE
10.26243;3.075629;BOUKAKRIKOUBE
10.000771;3.279789;BOUKANIERE
10.000771;3.279789;BOUKAYERE
10.749615;3.572908;JOUGOI
10.571056;3.806791;SONA
10.571056;3.806791;RIVERSONA
10.222856;3.006883;SOLANPOU
10.222856;3.006883;SOLAMPOU
10.973241;3.303082;SONA
10.665435;3.33549;SONONA
10.42509;3.482794;SONPOUANA
10.42509;3.482794;SOMPOUANA
10.665743;3.344068;SORA
10.665743;3.344068;SBRA
10.441911;3.312276;SOROU
10.815049;3.350694;SOSSA
10.852928;3.194222;SOU
10.648999;3.470827;SOUAMOU
10.827863;3.186723;SOUARA
10.997817;3.531921;SOUATINI
10.125552;3.308809;TEGO
10.040267;3.244376;TESSINTOBRA
10.81166;3.083487;TOANA
10.904392;3.000462;TONA
9.998459;3.160042;TONE
10.66112;3.43603;TORIN
10.676091;3.805162;BOULANKI
10.945994;3.408012;BOURALANGOU
10.250308;3.169672;BOURIEU
10.213971;3.204854;CHABEGOGUEKPAROU
10.304546;3.488957;CHARISSEKPAROU
10.304546;3.488957;CHARRISEKPAROU
10.438957;3.201772;DADA
10.311737;3.450462;DANGANZI
10.311737;3.450462;DAGASSI
10.311737;3.450462;DAGANSI
10.79661;3.550617;DAKALA
10.980637;3.706626;DAKOU
10.349923;3.30547;DANGNAN
10.342913;3.160966;DANGOUROU
10.365126;3.141141;DANKANA
10.365126;3.141141;DONKANA
10.346071;3.305393;DANKOU
10.152928;3.376246;DEDEBOURA
10.159895;3.25701;DERESSI
10.159895;3.25701;DERASSI
10.044839;3.218439;DIADAGAMARI
10.82717;3.543837;DIAPIO
10.890568;3.707679;VELA
10.890568;3.707679;VELELA
10.544948;3.240071;FORETCLASSEEDESTROISRIVIERES
10.614895;3.183564;TENA
10.634797;3.174551;KAIMIPLA
10.133641;3.243529;KAKATENE
10.133641;3.243529;KAKATANE
10.132486;3.157654;KALE
10.291657;3.380999;KALELE
10.291657;3.380999;KALALE
10.032024;3.211891;KALI
10.032024;3.211891;KALE
10.440293;3.54792;KALIPANA
10.673703;3.040036;KAN
10.673703;3.040036;KANI
10.598614;3.159117;KANA
10.801002;3.203621;KANA
